osm_type,osm_id,camera_key,latitude,longitude,first_mapped_as_alpr_at,first_mapped_as_alpr_date,first_alpr_osm_version,first_alpr_changeset,first_alpr_osm_user,first_alpr_osm_uid,currently_explicitly_flock,current_flock_evidence,explicitly_flock_at_first_alpr_version,first_alpr_flock_evidence,osm_object_created_at,osm_object_created_date,osm_object_created_version,camera_tag_added_after_object_creation,previous_version,previous_timestamp,previous_was_alpr,current_osm_version,current_osm_timestamp,current_changeset,current_brand,current_manufacturer,current_operator,current_model,current_direction,current_surveillance_type,osm_history_version_count,history_sha256,osm_object_url,osm_history_api_url,first_alpr_tags_json,current_tags_json,date_interpretation
node,9213245005,node/9213245005,41.9238365,-87.7697797,2021-10-31T05:38:52Z,2021-10-31,1,113180027,JakeTheMoose,1898744,False,,False,,2021-10-31T05:38:52Z,2021-10-31,1,False,,,False,4,2024-08-27T09:25:50Z,155820576,,,Chicago Police Department,,90,ALPR,4,32a7c9886ad4feaed2bae4f28fd810013232765ddd0524b3c16c3fa79612d15a,https://www.openstreetmap.org/node/9213245005,https://api.openstreetmap.org/api/0.6/node/9213245005/history,"{""camera:mount"": ""lighting_pole"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""camera:mount"": ""lighting_pole"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}",first observed OSM version tagged as ALPR/ANPR; not verified installation/activation date
node,9213232773,node/9213232773,41.9858332,-87.7877242,2021-10-31T05:40:50Z,2021-10-31,1,113180041,JakeTheMoose,1898744,False,,False,,2021-10-31T05:40:50Z,2021-10-31,1,False,,,False,3,2024-08-27T03:16:23Z,155808816,,,Chicago Police Department,,180,ALPR,3,8fac7a723113e5b4e7bcdb76c66e107ea51d7669bd3a711eff6f42d09c1bb8e6,https://www.openstreetmap.org/node/9213232773,https://api.openstreetmap.org/api/0.6/node/9213232773/history,"{""camera:mount"": ""traffic_signals"", ""direction"": ""180"", ""man_made"": ""surveillance"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""180"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}",first observed OSM version tagged as ALPR/ANPR; not verified installation/activation date
node,9255130981,node/9255130981,41.928355,-87.7147747,2021-11-16T05:08:11Z,2021-11-16,1,113833787,JakeTheMoose,1898744,False,,False,,2021-11-16T05:08:11Z,2021-11-16,1,False,,,False,2,2024-08-27T09:25:50Z,155820576,,,Chicago Police Department,,90,ALPR,2,87065cc7115ce6a603041e2de6ef695e6ac6b2ec02deeac0679516373815efe7,https://www.openstreetmap.org/node/9255130981,https://api.openstreetmap.org/api/0.6/node/9255130981/history,"{""camera:mount"": ""lighting_pole"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""street""}","{""camera:mount"": ""lighting_pole"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""street""}",first observed OSM version tagged as ALPR/ANPR; not verified installation/activation date
node,9255130982,node/9255130982,41.9533902,-87.7468795,2021-11-16T05:08:11Z,2021-11-16,1,113833787,JakeTheMoose,1898744,False,,False,,2021-11-16T05:08:11Z,2021-11-16,1,False,,,False,5,2025-09-26T19:26:13Z,172500410,,,Chicago Police Department,,90,ALPR,5,c02442fc6e049f4bacacc3f27ac8f39e26bf788a20a0f901b4b6f6fcdfbdcd66,https://www.openstreetmap.org/node/9255130982,https://api.openstreetmap.org/api/0.6/node/9255130982/history,"{""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}",first observed OSM version tagged as ALPR/ANPR; not verified installation/activation date
node,9255130983,node/9255130983,41.92404,-87.7559999,2021-11-16T05:08:11Z,2021-11-16,1,113833787,JakeTheMoose,1898744,False,,False,,2021-11-16T05:08:11Z,2021-11-16,1,False,,,False,2,2024-08-27T09:25:50Z,155820576,,,Chicago Police Department,,90,ALPR,2,2a18fd8052803998968b01ed4f8a3c2f9e349be21c1e1e4ed914e67bee1cd84c,https://www.openstreetmap.org/node/9255130983,https://api.openstreetmap.org/api/0.6/node/9255130983/history,"{""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}",first observed OSM version tagged as ALPR/ANPR; not verified installation/activation date
node,9404107657,node/9404107657,41.8762522,-87.6767545,2022-01-09T05:54:46Z,2022-01-09,1,115930934,JakeTheMoose,1898744,False,,False,,2022-01-09T05:54:46Z,2022-01-09,1,False,,,False,2,2024-08-27T03:16:23Z,155808816,,,Chicago Police Department,,270,ALPR,2,a9cf2ab48f42f0ee5c700f9bee25f90f6206c68cb104509b3e978f848c5111c9,https://www.openstreetmap.org/node/9404107657,https://api.openstreetmap.org/api/0.6/node/9404107657/history,"{""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""270"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""270"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}",first observed OSM version tagged as ALPR/ANPR; not verified installation/activation date
node,10765186749,node/10765186749,41.8910328,-87.6512495,2023-03-27T04:36:53Z,2023-03-27,1,134158338,JakeTheMoose,1898744,False,,False,,2023-03-27T04:36:53Z,2023-03-27,1,False,,,False,3,2024-12-12T19:24:19Z,160220774,,,Illinois State Police,,135,ALPR,3,504a91b584de5c0788fa3229d001968fbcc8d1220a4dff67ec83d9546f5ef97c,https://www.openstreetmap.org/node/10765186749,https://api.openstreetmap.org/api/0.6/node/10765186749/history,"{""camera:mount"": ""wall"", ""camera:type"": ""fixed"", ""direction"": ""135"", ""man_made"": ""surveillance"", ""operator"": ""Illinois State Police"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""camera:mount"": ""wall"", ""camera:type"": ""fixed"", ""direction"": ""135"", ""man_made"": ""surveillance"", ""operator"": ""Illinois State Police"", ""operator:short"": ""ISP"", ""operator:wikidata"": ""Q3148730"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}",first observed OSM version tagged as ALPR/ANPR; not verified installation/activation date
node,10765186750,node/10765186750,41.8910366,-87.651039,2023-03-27T04:36:53Z,2023-03-27,1,134158338,JakeTheMoose,1898744,False,,False,,2023-03-27T04:36:53Z,2023-03-27,1,False,,,False,3,2024-12-12T19:24:19Z,160220774,,,Illinois State Police,,135,ALPR,3,e18b2420ee78ee343c54ab1e2b1fe82928bdcffd5c6541bc63cd1cc2c1a081d6,https://www.openstreetmap.org/node/10765186750,https://api.openstreetmap.org/api/0.6/node/10765186750/history,"{""camera:mount"": ""wall"", ""camera:type"": ""fixed"", ""direction"": ""135"", ""man_made"": ""surveillance"", ""operator"": ""Illinois State Police"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""camera:mount"": ""wall"", ""camera:type"": ""fixed"", ""direction"": ""135"", ""man_made"": ""surveillance"", ""operator"": ""Illinois State Police"", ""operator:short"": ""ISP"", ""operator:wikidata"": ""Q3148730"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}",first observed OSM version tagged as ALPR/ANPR; not verified installation/activation date
node,10765186751,node/10765186751,41.8912806,-87.6510946,2023-03-27T04:36:53Z,2023-03-27,1,134158338,JakeTheMoose,1898744,False,,False,,2023-03-27T04:36:53Z,2023-03-27,1,False,,,False,3,2024-12-12T19:24:19Z,160220774,,,Illinois State Police,,305,ALPR,3,f097931f698db8a5fd3aaafff3ac719049c2bc2d68ee4ff5aad36da1bd175193,https://www.openstreetmap.org/node/10765186751,https://api.openstreetmap.org/api/0.6/node/10765186751/history,"{""camera:mount"": ""wall"", ""camera:type"": ""fixed"", ""direction"": ""305"", ""man_made"": ""surveillance"", ""operator"": ""Illinois State Police"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""camera:mount"": ""wall"", ""camera:type"": ""fixed"", ""direction"": ""305"", ""man_made"": ""surveillance"", ""operator"": ""Illinois State Police"", ""operator:short"": ""ISP"", ""operator:wikidata"": ""Q3148730"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}",first observed OSM version tagged as ALPR/ANPR; not verified installation/activation date
node,10765186752,node/10765186752,41.8912781,-87.6508545,2023-03-27T04:36:53Z,2023-03-27,1,134158338,JakeTheMoose,1898744,False,,False,,2023-03-27T04:36:53Z,2023-03-27,1,False,,,False,3,2024-12-12T19:24:19Z,160220774,,,Illinois State Police,,305,ALPR,3,f9616e135411967ef6d415c02fee19025d4fe2a6a6902e79101a25a75cf1d680,https://www.openstreetmap.org/node/10765186752,https://api.openstreetmap.org/api/0.6/node/10765186752/history,"{""camera:mount"": ""wall"", ""camera:type"": ""fixed"", ""direction"": ""305"", ""man_made"": ""surveillance"", ""operator"": ""Illinois State Police"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""camera:mount"": ""wall"", ""camera:type"": ""fixed"", ""direction"": ""305"", ""man_made"": ""surveillance"", ""operator"": ""Illinois State Police"", ""operator:short"": ""ISP"", ""operator:wikidata"": ""Q3148730"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}",first observed OSM version tagged as ALPR/ANPR; not verified installation/activation date
