"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS000182","OH0184800ALPR","Shaker Heights","Cuyahoga County","OH","Shaker Heights Police Department","Police","The Cuyahoga County Sheriff operates a network of 80 automated license plate readers throughout Northeastern Ohio in partnership with 20 local law enforcement agencies, including the Shaker Heights Police Department.","Municipal","Automated License Plate Readers","","Selex","https://www.wkyc.com/article/news/are-license-plate-readers-being-used-in-your-city/95-24cb1a8a-1815-45b7-aa7b-d6dbc8050227","","WKYC","","1/9/2019","https://web.archive.org/web/20201022022338/https://noaca-its.aecomonline.net/html/inv/el254.html","","Northeast Ohio Areawide Coordinating Agency","","1/13/2020","","","","","",""
"AOS000184","OH0185000ALPR","South Euclid","Cuyahoga County","OH","South Euclid Police Department","Police","The Cuyahoga County Sheriff operates a network of 80 automated license plate readers throughout Northeastern Ohio in partnership with 20 local law enforcement agencies, including the South Euclid Police Department.","Municipal","Automated License Plate Readers","","Selex","https://www.wkyc.com/article/news/are-license-plate-readers-being-used-in-your-city/95-24cb1a8a-1815-45b7-aa7b-d6dbc8050227","","WKYC","","1/9/2019","https://web.archive.org/web/20201022022338/https://noaca-its.aecomonline.net/html/inv/el254.html","","Northeast Ohio Areawide Coordinating Agency","","1/13/2020","","","","","",""
"AOS000185","OH0185100ALPR","Strongsville","Cuyahoga County","OH","Strongsville Police Department","Police","The Strongsville Police Department received city council approval to lease 17 Flock Safety automated license plate readers in February 2024.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.cleveland.com/community/2024/02/strongsville-to-lease-19-security-cameras-that-can-read-license-plate-numbers-help-solve-crimes.html","","Cleveland.com","","2/20/2024","","","","","","","","","","",""
"AOS000186","XX0000345ALPR","University Circle","Cuyahoga County","OH","University Circle Police Department","Police","The Cuyahoga County Sheriff operates a network of 80 automated license plate readers throughout Northeastern Ohio in partnership with 20 local law enforcement agencies, including the University Circle Police Department.","Municipal","Automated License Plate Readers","","Selex","https://www.wkyc.com/article/news/are-license-plate-readers-being-used-in-your-city/95-24cb1a8a-1815-45b7-aa7b-d6dbc8050227","","WKYC","","1/9/2019","https://web.archive.org/web/20201022022338/https://noaca-its.aecomonline.net/html/inv/el254.html","","Northeast Ohio Areawide Coordinating Agency","","1/13/2020","","","","","",""
"AOS000187","OH0185900ALPR","Woodmere","Cuyahoga County","OH","Woodmere Police Department","Police","The Cuyahoga County Sheriff operates a network of 80 automated license plate readers throughout Northeastern Ohio in partnership with 20 local law enforcement agencies, including the Woodmere Police Department.","Municipal","Automated License Plate Readers","","Selex","https://www.wkyc.com/article/news/are-license-plate-readers-being-used-in-your-city/95-24cb1a8a-1815-45b7-aa7b-d6dbc8050227","","WKYC","","1/9/2019","https://web.archive.org/web/20201022022338/https://noaca-its.aecomonline.net/html/inv/el254.html","","Northeast Ohio Areawide Coordinating Agency","","1/13/2020","","","","","",""
"AOS000188","MD0020200ALPR","Millersville","Anne Arundel County","MD","Anne Arundel County Police Department","Police","In 2018, the Anne Arundel County Police Department scanned 50,907,389 license plates using automated license plate readers. The agency operates ALPR systems at 9 fixed locations with 36 individual cameras and 29 mobile units.","County","Automated License Plate Readers","","","https://www.documentcloud.org/documents/6146047-Maryland-State-Police-PS3-509-E-2019.html","","Maryland House Judiciary Committee Disclosure","","02/22/2019","https://www.documentcloud.org/documents/6146027-Anne-Arundel-County-Police-PS3-509-E-2019.html","","Maryland House Judiciary Committee Disclosure","","02/11/2019","https://marylandreporter.com/2019/12/10/maryland-uses-surveillance-data-to-track-motorists-traffic/","","Capital News Service","","12/10/2019",""
"AOS000189","MD0030100ALPR","Towson","Baltimore County","MD","Baltimore County Police Department","Police","In 2018, the Baltimore County Police Department scanned 23,886,915 license plates using automated license plate readers.","County","Automated License Plate Readers","","","https://www.documentcloud.org/documents/6146047-Maryland-State-Police-PS3-509-E-2019.html","","Maryland House Judiciary Committee Disclosure","","02/22/2019","https://marylandreporter.com/2019/12/10/maryland-uses-surveillance-data-to-track-motorists-traffic/","","Capital News Service","","12/10/2019","","","","","",""
"AOS000190","MDBPD0000ALPR","Baltimore","","MD","Baltimore Police Department","Police","In 2018, the Baltimore City Police Department scanned 17,367,521 license plates using automated license plate readers.","County","Automated License Plate Readers","","","https://www.documentcloud.org/documents/6146047-Maryland-State-Police-PS3-509-E-2019.html","","Maryland House Judiciary Committee Disclosure","","02/22/2019","https://assets1.cbsnewsstatic.com/i/cbslocal/wp-content/uploads/sites/15910056/2022/06/BPD-Response-to-City-Council-2022-06-03-2.pdf","","Baltimore Police Department","","06/03/2022","https://www.documentcloud.org/projects/baltimore-police-license-plate-reader-training-209396/","","Kris Halsey","","8/24/2022",""
"AOS000191","MD0090000ALPR","La Plata","Charles County","MD","Charles County Sheriff's Office","Police","In 2018, the Charles County Sheriff's Office scanned 2,440,981 license plates using automated license plate readers.","County","Automated License Plate Readers","","","https://www.documentcloud.org/documents/6146047-Maryland-State-Police-PS3-509-E-2019.html","","Maryland House Judiciary Committee Disclosure","","02/22/2019","https://marylandreporter.com/2019/12/10/maryland-uses-surveillance-data-to-track-motorists-traffic/","","Capital News Service","","12/10/2019","","","","","",""
"AOS000192","MD0140100ALPR","Ellicott City","Howard County","MD","Howard County Police Department","Police","In 2018, the Howard County Police Department scanned 2,134,862 license plates using automated license plate readers. The police used seven systems on marked police vehicles and three on unmarked police vehicles.","County","Automated License Plate Readers","","","https://www.documentcloud.org/documents/6146047-Maryland-State-Police-PS3-509-E-2019.html","","Maryland House Judiciary Committee Disclosure","","02/22/2019","https://marylandreporter.com/2019/12/10/maryland-uses-surveillance-data-to-track-motorists-traffic/","","Capital News Service","","12/10/2019","","","","","",""
"AOS000193","MD0160400ALPR","Gaithersburg","Montgomery County","MD","Montgomery County Police Department","Police","In 2018, the Montgomery County Police Department scanned 1,145,437 license plates using automated license plate readers.","County","Automated License Plate Readers","","","https://www.documentcloud.org/documents/6146047-Maryland-State-Police-PS3-509-E-2019.html","","Maryland House Judiciary Committee Disclosure","","02/22/2019","https://marylandreporter.com/2019/12/10/maryland-uses-surveillance-data-to-track-motorists-traffic/","","Capital News Service","","12/10/2019","","","","","",""
"AOS000194","MDMSP0000ALPR","Pikesville","Baltimore County","MD","Maryland State Police","Police","In 2018, the Maryland State Police scanned 74,899,090 license plates using automated license plate readers. The agency acquired automated license plate readers as early as 2018.","Statewide","Automated License Plate Readers","","","https://www.documentcloud.org/documents/6146047-Maryland-State-Police-PS3-509-E-2019.html","","Maryland House Judiciary Committee Disclosure","","02/22/2019","https://www.courts.state.md.us/sites/default/files/unreported-opinions/2815s18.pdf","","Circuit Court for Baltimore City","","10/09/2019","https://marylandreporter.com/2019/12/10/maryland-uses-surveillance-data-to-track-motorists-traffic/","","Capital News Service","","12/10/2019",""
"AOS000195","MD0040100ALPR","Baltimore","","MD","Maryland Transportation Authority","Police","In 2018, the Maryland Transportation Authority scanned 206,900,888 license plates using automated license plate readers.","Statewide","Automated License Plate Readers","","","https://www.documentcloud.org/documents/6146047-Maryland-State-Police-PS3-509-E-2019.html","","Maryland House Judiciary Committee Disclosure","","02/22/2019","https://marylandreporter.com/2019/12/10/maryland-uses-surveillance-data-to-track-motorists-traffic/","","Capital News Service","","12/10/2019","","","","","",""
"AOS000196","MD0240200ALPR","Ocean City","Worcester County","MD","Ocean City Police Department","Police","In 2018, the Ocean City Police Department scanned 15,156,957 license plates using automated license plate readers. The police have one mobile unit and 12 cameras at fixed locations.","Municipal","Automated License Plate Readers","","","https://www.documentcloud.org/documents/6146047-Maryland-State-Police-PS3-509-E-2019.html","","Maryland House Judiciary Committee Disclosure","","02/22/2019","https://marylandreporter.com/2019/12/10/maryland-uses-surveillance-data-to-track-motorists-traffic/","","Capital News Service","","12/10/2019","","","","","",""
"AOS000197","MD0172100ALPR","Landover","Prince George's County","MD","Prince George's County Police Department","Police","In 2018, the Prince George's County Police Department scanned 43,085,175 license plates using automated license plate readers.","Municipal","Automated License Plate Readers","","","https://www.documentcloud.org/documents/6146047-Maryland-State-Police-PS3-509-E-2019.html","","Maryland House Judiciary Committee Disclosure","","02/22/2019","https://marylandreporter.com/2019/12/10/maryland-uses-surveillance-data-to-track-motorists-traffic/","","Capital News Service","","12/10/2019","","","","","",""
"AOS000198","MD0030500ALPR","Towson","Baltimore County","MD","Towson University Police Department","Police","In 2018, the Towson University Police Department scanned 3,676,764 license plates using automated license plate readers. The University has a total of 6 fixed ALPR sites with 10 cameras and one mobile unit","University","Automated License Plate Readers","","","https://www.documentcloud.org/documents/6146047-Maryland-State-Police-PS3-509-E-2019.html","","Maryland House Judiciary Committee Disclosure","","02/22/2019","https://www.documentcloud.org/documents/6146023-Towson-University-PS3-509-E-2018.html","","Maryland House Judiciary Committee Disclosure","","02/22/2019","https://marylandreporter.com/2019/12/10/maryland-uses-surveillance-data-to-track-motorists-traffic/","","Capital News Service","","12/10/2019",""
"AOS000199","MD0172500ALPR","College Park","Prince George's County","MD","University of Maryland Police Department","Police","In 2018, the University of Maryland Police Department scanned 8,765,641 license plates using automated license plate readers.","University","Automated License Plate Readers","","","https://www.documentcloud.org/documents/6146047-Maryland-State-Police-PS3-509-E-2019.html","","Maryland House Judiciary Committee Disclosure","","02/22/2019","https://marylandreporter.com/2019/12/10/maryland-uses-surveillance-data-to-track-motorists-traffic/","","Capital News Service","","12/10/2019","","","","","",""
"AOS000200","MD0020100ALPR","Annapolis","Anne Arundel County","MD","Annapolis Police Department","Police","In 2018, the Annapolice Police Department scanned 3,738,063 license plates using automated license plate readers. The Annapolis police has five fixed ALPR units and three mobile ALPR units.","Municipal","Automated License Plate Readers","","","https://www.documentcloud.org/documents/6146047-Maryland-State-Police-PS3-509-E-2019.html","","Maryland House Judiciary Committee Disclosure","","02/22/2019","https://marylandreporter.com/2019/12/10/maryland-uses-surveillance-data-to-track-motorists-traffic/","","Capital News Service","","12/10/2019","","","","","",""
